transcirc_id	circ_strand	circ_chrom	tis_coordinate_hg38	tis_position_in_circrna
TC-hsa-GNB1_0029	-	chr1	1825453	47
TC-hsa-GNB1_0040	-	chr1	1825453	47
TC-hsa-KDM1A_0016	+	chr1	23059138	727
TC-hsa-KDM1A_0018	+	chr1	23059138	727
TC-hsa-KDM1A_0020	+	chr1	23059138	727
TC-hsa-KDM1A_0030	+	chr1	23059138	561
TC-hsa-GNB1_0049	-	chr1	1825453	47
TC-hsa-ERRFI1_0001	-	chr1	8015639	54
TC-hsa-KIF1B_0012	+	chr1	10232329	80
TC-hsa-EIF4G3_0233	-	chr1	21050939	56
TC-hsa-HP1BP3_0014	-	chr1	20779893	19
TC-hsa-KIF1B_0011	+	chr1	10232329	80
TC-hsa-KIF1B_0016	+	chr1	10232329	80
TC-hsa-EIF4G3_0225	-	chr1	21050939	56
TC-hsa-EIF4G3_0239	-	chr1	21050939	132
TC-hsa-EIF4G3_0140	-	chr1	21050939	132
TC-hsa-EIF4G3_0196	-	chr1	21050939	132
TC-hsa-C1orf159_0004	-	chr1	1092068	36
TC-hsa-GNB1_0084	-	chr1	1825453	47
TC-hsa-GNB1_0055	-	chr1	1825453	47
TC-hsa-FBLIM1_0005	+	chr1	15764538	43
TC-hsa-HP1BP3_0059	-	chr1	20779893	19
TC-hsa-EIF4G3_0245	-	chr1	21050939	132
TC-hsa-EIF4G3_0251	-	chr1	21050939	132
TC-hsa-GNB1_0075	-	chr1	1825453	47
TC-hsa-HNRNPR_0017	-	chr1	23337834	147
TC-hsa-HNRNPR_0023	-	chr1	23337834	147
TC-hsa-HNRNPR_0025	-	chr1	23337834	147
TC-hsa-HNRNPR_0028	-	chr1	23337834	147
TC-hsa-RCC2_0006	-	chr1	17438514	9
TC-hsa-EIF4G3_0214	-	chr1	21050939	132
TC-hsa-CTNNBIP1_0003	-	chr1	9877971	19
TC-hsa-KIF1B_0015	+	chr1	10232329	80
TC-hsa-EIF4G3_0216	-	chr1	21050939	132
TC-hsa-EIF4G3_0244	-	chr1	21050939	132
TC-hsa-CDC42_0001	+	chr1	22078479	51
TC-hsa-CDC42_0001	+	chr1	22086462	252
TC-hsa-RPL11_0001	+	chr1	23693843	188
TC-hsa-RPL11_0002	+	chr1	23693843	188
TC-hsa-RPL11_0002	+	chr1	23694762	361
TC-hsa-RPL11_0004	+	chr1	23693843	80
TC-hsa-RPL11_0005	+	chr1	23694762	94
TC-hsa-GALE_0002	-	chr1	23798659	198
TC-hsa-FBLIM1_0007	+	chr1	15764538	43
TC-hsa-SPEN_0001	+	chr1	15847904	3
TC-hsa-EIF4G3_0217	-	chr1	21050939	132
TC-hsa-EIF4G3_0218	-	chr1	21050939	132
TC-hsa-EIF4G3_0219	-	chr1	21050939	132
TC-hsa-EIF4G3_0221	-	chr1	21050939	132
TC-hsa-EIF4G3_0224	-	chr1	21050939	132
TC-hsa-EIF4G3_0228	-	chr1	21050939	132
TC-hsa-EIF4G3_0237	-	chr1	21050939	132
TC-hsa-HP1BP3_0087	-	chr1	20779893	255
TC-hsa-HP1BP3_0087	-	chr1	20780440	141
TC-hsa-EIF4G3_0202	-	chr1	21050939	56
TC-hsa-EIF4G3_0209	-	chr1	21050939	56
TC-hsa-EIF4G3_0248	-	chr1	21050939	132
TC-hsa-HP1BP3_0083	-	chr1	20779893	215
TC-hsa-HP1BP3_0083	-	chr1	20780440	101
TC-hsa-EIF4G3_0193	-	chr1	21050939	56
TC-hsa-GNB1_0037	-	chr1	1825453	47
TC-hsa-KDM1A_0017	+	chr1	23059138	727
TC-hsa-FBLIM1_0003	+	chr1	15764538	46
TC-hsa-FBLIM1_0008	+	chr1	15764538	43
TC-hsa-KIF1B_0001	+	chr1	10232329	80
TC-hsa-KIF1B_0003	+	chr1	10232329	80
TC-hsa-CDC42_0003	+	chr1	22078479	51
TC-hsa-CDC42_0003	+	chr1	22086462	252
TC-hsa-CDC42_0006	+	chr1	22078479	51
TC-hsa-CDC42_0004	+	chr1	22078479	51
TC-hsa-CDC42_0004	+	chr1	22086462	252
TC-hsa-PQLC2_0001	+	chr1	19317678	79
TC-hsa-GNB1_0082	-	chr1	1825453	47
TC-hsa-PARK7_0001	+	chr1	7962786	24
TC-hsa-PARK7_0003	+	chr1	7962786	24
TC-hsa-EIF4G3_0142	-	chr1	21050939	132
TC-hsa-EIF4G3_0235	-	chr1	21050939	56
TC-hsa-KDM1A_0004	+	chr1	23059138	727
TC-hsa-ENO1_0008	-	chr1	8865357	234
TC-hsa-ENO1_0008	-	chr1	8865456	135
TC-hsa-ENO1_0008	-	chr1	8866348	39
TC-hsa-FBLIM1_0004	+	chr1	15764538	46
TC-hsa-HP1BP3_0058	-	chr1	20779893	16
TC-hsa-GNB1_0012	-	chr1	1825453	47
TC-hsa-GNB1_0042	-	chr1	1825453	30
TC-hsa-GNB1_0052	-	chr1	1825453	47
TC-hsa-GNB1_0078	-	chr1	1825453	47
TC-hsa-EIF4G3_0234	-	chr1	21050939	56
TC-hsa-GNB1_0070	-	chr1	1825453	47
TC-hsa-GNB1_0050	-	chr1	1825453	47
TC-hsa-GNB1_0057	-	chr1	1825453	47
TC-hsa-PNRC2_0001	+	chr1	23960968	40
TC-hsa-MTFR1L_0001	+	chr1	25823029	60
TC-hsa-MTFR1L_0003	+	chr1	25823029	11
TC-hsa-STMN1_0006	-	chr1	25904703	36
TC-hsa-STMN1_0006	-	chr1	25904721	18
TC-hsa-STMN1_0008	-	chr1	25904703	36
TC-hsa-STMN1_0008	-	chr1	25904721	18
TC-hsa-MTOR_0081	-	chr1	11259409	15
TC-hsa-MTOR_0083	-	chr1	11259409	15
TC-hsa-ZNF593_0001	+	chr1	26169984	79
TC-hsa-HP1BP3_0044	-	chr1	20779893	16
TC-hsa-HP1BP3_0070	-	chr1	20779893	185
TC-hsa-HP1BP3_0070	-	chr1	20780440	71
TC-hsa-ENO1_0005	-	chr1	8865357	483
TC-hsa-ENO1_0005	-	chr1	8865456	384
TC-hsa-ENO1_0005	-	chr1	8866348	288
TC-hsa-ENO1_0010	-	chr1	8866348	154
TC-hsa-ENO1_0012	-	chr1	8866348	358
TC-hsa-CTNNBIP1_0007	-	chr1	9877971	53
TC-hsa-EIF4G3_0124	-	chr1	21050939	56
TC-hsa-KIF1B_0006	+	chr1	10232329	80
TC-hsa-KIF1B_0013	+	chr1	10232329	80
TC-hsa-EIF4G3_0159	-	chr1	21050939	132
TC-hsa-HP1BP3_0079	-	chr1	20779893	19
TC-hsa-HP1BP3_0081	-	chr1	20779893	215
TC-hsa-HP1BP3_0081	-	chr1	20780440	101
TC-hsa-ENO1_0007	-	chr1	8865357	35
TC-hsa-HP1BP3_0031	-	chr1	20779893	19
TC-hsa-HP1BP3_0010	-	chr1	20779893	16
TC-hsa-HNRNPR_0013	-	chr1	23337834	28
TC-hsa-HNRNPR_0014	-	chr1	23337834	147
TC-hsa-HNRNPR_0016	-	chr1	23337834	147
TC-hsa-HNRNPR_0024	-	chr1	23337834	147
TC-hsa-HNRNPR_0026	-	chr1	23337834	147
TC-hsa-GNB1_0051	-	chr1	1825453	47
TC-hsa-GNB1_0067	-	chr1	1825453	47
TC-hsa-GNB1_0088	-	chr1	1825453	47
TC-hsa-GNB1_0089	-	chr1	1825453	47
TC-hsa-WASF2_0013	-	chr1	27428890	44
TC-hsa-KDM1A_0015	+	chr1	23059138	727
TC-hsa-KDM1A_0019	+	chr1	23059138	727
TC-hsa-HP1BP3_0086	-	chr1	20779893	215
TC-hsa-HP1BP3_0086	-	chr1	20780440	101
TC-hsa-STPG1_0005	-	chr1	24401442	15
TC-hsa-STPG1_0007	-	chr1	24401442	15
TC-hsa-STPG1_0009	-	chr1	24401442	15
TC-hsa-STPG1_0010	-	chr1	24401442	15
TC-hsa-STPG1_0011	-	chr1	24401442	15
TC-hsa-STPG1_0012	-	chr1	24401442	15
TC-hsa-EIF4G3_0150	-	chr1	21050939	132
TC-hsa-EIF4G3_0222	-	chr1	21050939	56
TC-hsa-GNB1_0027	-	chr1	1825453	30
TC-hsa-GNB1_0060	-	chr1	1825453	47
TC-hsa-GNB1_0068	-	chr1	1825453	47
TC-hsa-HNRNPR_0027	-	chr1	23337834	147
TC-hsa-HNRNPR_0030	-	chr1	23344252	22
TC-hsa-GNB1_0054	-	chr1	1825453	47
TC-hsa-EIF4G3_0195	-	chr1	21050939	132
TC-hsa-GNB1_0086	-	chr1	1825453	47
TC-hsa-RER1_0004	+	chr1	2395825	42
TC-hsa-RER1_0003	+	chr1	2395825	42
TC-hsa-WASF2_0003	-	chr1	27428890	44
TC-hsa-UBXN11_0008	-	chr1	26302883	36
TC-hsa-DHDDS_0001	+	chr1	26432946	56
TC-hsa-GNB1_0031	-	chr1	1825453	47
TC-hsa-DHDDS_0002	+	chr1	26432946	56
TC-hsa-WASF2_0004	-	chr1	27428890	44
TC-hsa-WASF2_0008	-	chr1	27428890	44
TC-hsa-WASF2_0009	-	chr1	27428890	44
TC-hsa-WASF2_0011	-	chr1	27428890	44
TC-hsa-WASF2_0012	-	chr1	27428890	44
TC-hsa-WASF2_0014	-	chr1	27428890	8
TC-hsa-WASF2_0015	-	chr1	27428890	44
TC-hsa-CTNNBIP1_0004	-	chr1	9877971	53
TC-hsa-KIF1B_0014	+	chr1	10232329	80
TC-hsa-MFAP2_0001	-	chr1	16978273	42
TC-hsa-FBLIM1_0006	+	chr1	15764538	43
TC-hsa-HP1BP3_0060	-	chr1	20779893	215
TC-hsa-HP1BP3_0060	-	chr1	20780440	101
TC-hsa-CDK11A_0003	-	chr1	1722818	14
TC-hsa-KDM1A_0023	+	chr1	23059138	723
TC-hsa-KDM1A_0031	+	chr1	23059138	561
TC-hsa-KDM1A_0034	+	chr1	23059138	561
TC-hsa-KDM1A_0035	+	chr1	23059138	561
TC-hsa-KDM1A_0039	+	chr1	23059138	427
TC-hsa-KDM1A_0041	+	chr1	23059138	427
TC-hsa-KDM1A_0043	+	chr1	23059138	348
TC-hsa-KDM1A_0044	+	chr1	23059138	348
TC-hsa-GNB1_0061	-	chr1	1825453	47
TC-hsa-GNB1_0066	-	chr1	1825453	47
TC-hsa-GNB1_0079	-	chr1	1825453	47
TC-hsa-HP1BP3_0069	-	chr1	20779893	19
TC-hsa-HP1BP3_0015	-	chr1	20779893	215
TC-hsa-HP1BP3_0015	-	chr1	20780440	101
TC-hsa-HP1BP3_0046	-	chr1	20779893	215
TC-hsa-HP1BP3_0046	-	chr1	20780440	101
TC-hsa-EIF4G3_0139	-	chr1	21050939	56
TC-hsa-EIF4G3_0149	-	chr1	21050939	132
TC-hsa-EIF4G3_0167	-	chr1	21050939	56
TC-hsa-EIF4G3_0169	-	chr1	21050939	132
TC-hsa-EIF4G3_0103	-	chr1	21050939	56
TC-hsa-EIF4G3_0215	-	chr1	21050939	56
TC-hsa-EIF4G3_0231	-	chr1	21050939	132
TC-hsa-EIF4G3_0236	-	chr1	21050939	132
TC-hsa-EIF4G3_0247	-	chr1	21050939	132
TC-hsa-TAF12_0001	-	chr1	28622081	85
TC-hsa-TAF12_0005	-	chr1	28622081	85
TC-hsa-TAF12_0009	-	chr1	28622081	85
TC-hsa-TAF12_0010	-	chr1	28622081	85
TC-hsa-TAF12_0012	-	chr1	28622081	85
TC-hsa-GMEB1_0005	+	chr1	28683613	31
TC-hsa-GMEB1_0007	+	chr1	28683613	31
TC-hsa-GMEB1_0014	+	chr1	28683613	31
TC-hsa-GMEB1_0016	+	chr1	28683613	31
TC-hsa-GMEB1_0017	+	chr1	28683613	31
TC-hsa-GMEB1_0020	+	chr1	28683613	28
TC-hsa-GMEB1_0023	+	chr1	28683613	28
TC-hsa-GMEB1_0024	+	chr1	28683613	28
TC-hsa-EIF4G3_0181	-	chr1	21050939	132
TC-hsa-EIF4G3_0204	-	chr1	21050939	132
TC-hsa-EIF4G3_0212	-	chr1	21050939	132
TC-hsa-EIF4G3_0232	-	chr1	21050939	132
TC-hsa-EIF4G3_0241	-	chr1	21050939	132
TC-hsa-GMEB1_0001	+	chr1	28683613	31
TC-hsa-HP1BP3_0011	-	chr1	20779893	215
TC-hsa-HP1BP3_0011	-	chr1	20780440	101
TC-hsa-HP1BP3_0071	-	chr1	20779893	215
TC-hsa-HP1BP3_0071	-	chr1	20780440	101
TC-hsa-HP1BP3_0080	-	chr1	20779893	215
TC-hsa-HP1BP3_0080	-	chr1	20780440	101
TC-hsa-KIF1B_0002	+	chr1	10232329	80
TC-hsa-KIF1B_0007	+	chr1	10232329	80
TC-hsa-KIF1B_0008	+	chr1	10232329	80
TC-hsa-KIF1B_0010	+	chr1	10232329	80
TC-hsa-PUM1_0111	-	chr1	31059467	111
TC-hsa-PUM1_0111	-	chr1	31059565	13
TC-hsa-PUM1_0114	-	chr1	31059467	167
TC-hsa-PUM1_0114	-	chr1	31059565	69
TC-hsa-PUM1_0116	-	chr1	31059467	111
TC-hsa-PUM1_0116	-	chr1	31059565	13
TC-hsa-PUM1_0120	-	chr1	31059467	111
TC-hsa-PUM1_0120	-	chr1	31059565	13
TC-hsa-ZCCHC17_0001	+	chr1	31310099	56
TC-hsa-ZCCHC17_0002	+	chr1	31310099	56
TC-hsa-ZCCHC17_0003	+	chr1	31310099	56
TC-hsa-ZCCHC17_0004	+	chr1	31310099	56
TC-hsa-ZCCHC17_0005	+	chr1	31310099	56
TC-hsa-PUM1_0021	-	chr1	31059467	111
TC-hsa-PUM1_0021	-	chr1	31059565	13
TC-hsa-KDM1A_0056	+	chr1	23059138	148
TC-hsa-KDM1A_0058	+	chr1	23059138	148
TC-hsa-KDM1A_0059	+	chr1	23059138	148
TC-hsa-CASZ1_0005	-	chr1	10760735	123
TC-hsa-CASZ1_0006	-	chr1	10760735	123
TC-hsa-CASZ1_0007	-	chr1	10760735	123
TC-hsa-CASZ1_0010	-	chr1	10760735	123
TC-hsa-GMEB1_0003	+	chr1	28683613	31
TC-hsa-EIF4G3_0186	-	chr1	21050939	56
TC-hsa-EIF4G3_0229	-	chr1	21050939	56
TC-hsa-PTP4A2_0010	-	chr1	31919065	594
TC-hsa-RPS8_0001	+	chr1	44776109	76
TC-hsa-RPS8_0001	+	chr1	44776729	162
TC-hsa-PUM1_0119	-	chr1	31059467	111
TC-hsa-PUM1_0119	-	chr1	31059565	13
TC-hsa-PTP4A2_0006	-	chr1	31919065	594
TC-hsa-GNB1_0013	-	chr1	1825453	47
TC-hsa-GNB1_0036	-	chr1	1825453	47
TC-hsa-RER1_0005	+	chr1	2395825	42
TC-hsa-GMEB1_0010	+	chr1	28683613	31
TC-hsa-GMEB1_0018	+	chr1	28683613	28
TC-hsa-EIF3I_0003	+	chr1	32228751	480
TC-hsa-PTP4A2_0003	-	chr1	31919065	594
TC-hsa-PTP4A2_0009	-	chr1	31919065	594
TC-hsa-KDM1A_0045	+	chr1	23059138	348
TC-hsa-KDM1A_0048	+	chr1	23059138	348
TC-hsa-KDM1A_0050	+	chr1	23059138	255
TC-hsa-KDM1A_0052	+	chr1	23059138	148
TC-hsa-KDM1A_0053	+	chr1	23059138	148
TC-hsa-KDM1A_0055	+	chr1	23059138	148
TC-hsa-EIF3I_0009	+	chr1	32228751	136
TC-hsa-MARCKSL1_0006	-	chr1	32336033	95
TC-hsa-TAF12_0006	-	chr1	28622081	85
TC-hsa-GMEB1_0015	+	chr1	28683613	31
TC-hsa-THRAP3_0003	+	chr1	36259421	40
TC-hsa-CASZ1_0009	-	chr1	10760735	123
TC-hsa-TARDBP_0002	+	chr1	11013728	13
TC-hsa-MTFR1L_0004	+	chr1	25823029	11
TC-hsa-EIF4G3_0203	-	chr1	21050939	132
TC-hsa-EIF4G3_0206	-	chr1	21050939	132
TC-hsa-EIF4G3_0238	-	chr1	21050939	132
TC-hsa-EIF4G3_0249	-	chr1	21050939	132
TC-hsa-TAF12_0004	-	chr1	28622081	85
TC-hsa-TAF12_0011	-	chr1	28622081	85
TC-hsa-PTP4A2_0002	-	chr1	31919065	594
TC-hsa-KIF2C_0001	+	chr1	44739884	11
TC-hsa-ERI3_0023	-	chr1	44313207	417
TC-hsa-ZMYM6_0030	-	chr1	35030686	28
TC-hsa-FHL3_0002	-	chr1	37999138	11
TC-hsa-TXLNA_0001	+	chr1	32180346	33
TC-hsa-KDM1A_0046	+	chr1	23059138	348
TC-hsa-KDM1A_0047	+	chr1	23059138	348
TC-hsa-KDM1A_0049	+	chr1	23059138	348
TC-hsa-KDM1A_0054	+	chr1	23059138	148
TC-hsa-KDM1A_0057	+	chr1	23059138	148
TC-hsa-KDM1A_0060	+	chr1	23059138	66
TC-hsa-KDM1A_0061	+	chr1	23059138	66
TC-hsa-KPNA6_0001	+	chr1	32108073	1
TC-hsa-TARDBP_0003	+	chr1	11013728	13
TC-hsa-MTFR1L_0002	+	chr1	25823029	11
TC-hsa-ZMYM6_0018	-	chr1	35030686	28
TC-hsa-KDM1A_0026	+	chr1	23059138	561
TC-hsa-LUZP1_0003	-	chr1	23109071	57
TC-hsa-LUZP1_0003	-	chr1	23109115	13
TC-hsa-EIF3I_0008	+	chr1	32228751	136
TC-hsa-LUZP1_0001	-	chr1	23109071	57
TC-hsa-LUZP1_0001	-	chr1	23109115	13
TC-hsa-LUZP1_0004	-	chr1	23109071	57
TC-hsa-LUZP1_0004	-	chr1	23109115	13
TC-hsa-LUZP1_0005	-	chr1	23109071	57
TC-hsa-LUZP1_0005	-	chr1	23109115	13
TC-hsa-LUZP1_0006	-	chr1	23109071	57
TC-hsa-LUZP1_0006	-	chr1	23109115	13
TC-hsa-LUZP1_0007	-	chr1	23109071	57
TC-hsa-LUZP1_0007	-	chr1	23109115	13
TC-hsa-LUZP1_0008	-	chr1	23109071	57
TC-hsa-LUZP1_0008	-	chr1	23109115	13
TC-hsa-LUZP1_0009	-	chr1	23109071	316
TC-hsa-LUZP1_0009	-	chr1	23109115	272
TC-hsa-LUZP1_0010	-	chr1	23109071	316
TC-hsa-LUZP1_0010	-	chr1	23109115	272
TC-hsa-LUZP1_0011	-	chr1	23109071	316
TC-hsa-LUZP1_0011	-	chr1	23109115	272
TC-hsa-GMEB1_0009	+	chr1	28683613	31
TC-hsa-GMEB1_0013	+	chr1	28683613	31
TC-hsa-GMEB1_0021	+	chr1	28683613	28
TC-hsa-PTP4A2_0004	-	chr1	31919065	594
TC-hsa-ERI3_0022	-	chr1	44313207	417
TC-hsa-PTP4A2_0008	-	chr1	31919065	594
TC-hsa-GNB1_0035	-	chr1	1825453	30
TC-hsa-GNB1_0059	-	chr1	1825453	47
TC-hsa-CTNNBIP1_0008	-	chr1	9877971	53
TC-hsa-KIF1B_0017	+	chr1	10232329	80
TC-hsa-HNRNPR_0005	-	chr1	23337834	28
TC-hsa-ZMYM6_0011	-	chr1	35030686	28
TC-hsa-GMEB1_0006	+	chr1	28683613	31
TC-hsa-LRRC41_0010	-	chr1	46303256	52
TC-hsa-PRDX1_0002	-	chr1	45515784	141
TC-hsa-PRDX1_0002	-	chr1	45519043	12
TC-hsa-GMEB1_0002	+	chr1	28683613	31
TC-hsa-OSBPL9_0004	+	chr1	51617111	353
TC-hsa-OSBPL9_0005	+	chr1	51617111	238
TC-hsa-OSBPL9_0007	+	chr1	51617111	238
TC-hsa-OSBPL9_0007	+	chr1	51745597	617
TC-hsa-OSBPL9_0035	+	chr1	51745597	62
TC-hsa-OSBPL9_0037	+	chr1	51745597	62
TC-hsa-OSBPL9_0039	+	chr1	51745597	62
TC-hsa-GMEB1_0011	+	chr1	28683613	31
TC-hsa-GMEB1_0012	+	chr1	28683613	31
TC-hsa-GMEB1_0019	+	chr1	28683613	28
TC-hsa-GMEB1_0022	+	chr1	28683613	28
TC-hsa-ZMYM6_0035	-	chr1	35030686	71
TC-hsa-ERI3_0030	-	chr1	44313207	376
TC-hsa-ERI3_0034	-	chr1	44313207	139
TC-hsa-OSBPL9_0002	+	chr1	51617111	423
TC-hsa-OSBPL9_0028	+	chr1	51745597	139
TC-hsa-OSBPL9_0031	+	chr1	51745597	139
TC-hsa-TAF12_0013	-	chr1	28622081	85
TC-hsa-GMEB1_0008	+	chr1	28683613	31
TC-hsa-ELOVL1_0009	-	chr1	43365609	15
TC-hsa-FHL3_0003	-	chr1	37999138	187
TC-hsa-UQCRH_0002	+	chr1	46303767	46
TC-hsa-UQCRH_0002	+	chr1	46303791	70
TC-hsa-STIL_0061	-	chr1	47310319	44
TC-hsa-STIL_0063	-	chr1	47310319	44
TC-hsa-SLC2A1_0011	-	chr1	42958841	25
TC-hsa-CDC20_0002	+	chr1	43359216	50
TC-hsa-ELOVL1_0006	-	chr1	43365609	15
TC-hsa-YBX1_0002	+	chr1	42682566	37
TC-hsa-GMEB1_0004	+	chr1	28683613	31
TC-hsa-PUM1_0113	-	chr1	31059467	111
TC-hsa-PUM1_0113	-	chr1	31059565	13
TC-hsa-PUM1_0117	-	chr1	31059467	111
TC-hsa-PUM1_0117	-	chr1	31059565	13
TC-hsa-EIF3I_0007	+	chr1	32228751	414
TC-hsa-PTP4A2_0001	-	chr1	31919065	594
TC-hsa-SAMD11_0003	+	chr1	925942	21
TC-hsa-NDUFS5_0003	+	chr1	39034425	252
TC-hsa-ERI3_0021	-	chr1	44313207	417
TC-hsa-ERI3_0036	-	chr1	44313207	417
TC-hsa-CDC20_0001	+	chr1	43359216	50
TC-hsa-ELOVL1_0005	-	chr1	43365609	15
TC-hsa-NDUFS5_0002	+	chr1	39034425	252
TC-hsa-PTP4A2_0007	-	chr1	31919065	594
TC-hsa-TARDBP_0001	+	chr1	11013728	13
TC-hsa-CTPS1_0005	+	chr1	40983291	14
TC-hsa-THRAP3_0005	+	chr1	36259421	40
TC-hsa-PUM1_0100	-	chr1	31059467	111
TC-hsa-PUM1_0100	-	chr1	31059565	13
TC-hsa-SNIP1_0004	-	chr1	37554229	14
TC-hsa-PUM1_0115	-	chr1	31059467	111
TC-hsa-PUM1_0115	-	chr1	31059565	13
TC-hsa-TAF12_0014	-	chr1	28622081	85
TC-hsa-DPH2_0001	+	chr1	43970176	36
TC-hsa-ERI3_0008	-	chr1	44313207	139
TC-hsa-ERI3_0026	-	chr1	44313207	139
TC-hsa-ERI3_0027	-	chr1	44313207	139
TC-hsa-ERI3_0012	-	chr1	44313207	22
TC-hsa-ERI3_0019	-	chr1	44313207	493
TC-hsa-ERI3_0020	-	chr1	44313207	417
TC-hsa-ATPAF1_0002	-	chr1	46643271	127
TC-hsa-ATPAF1_0005	-	chr1	46643271	127
TC-hsa-ATPAF1_0006	-	chr1	46643271	127
TC-hsa-ATPAF1_0007	-	chr1	46643271	340
TC-hsa-ATPAF1_0008	-	chr1	46643271	127
TC-hsa-ATPAF1_0009	-	chr1	46643271	336
TC-hsa-ATPAF1_0010	-	chr1	46643271	449
TC-hsa-CTPS1_0002	+	chr1	40983291	14
TC-hsa-STIL_0046	-	chr1	47310319	44
TC-hsa-EBNA1BP2_0001	-	chr1	43172106	36
